Name,ra,dec,teff,eteff,logg,elogg,F,eF,vsini,evsini,RHKp,dRHKp,vsinflag,snr,RVflag,metflag
BD+012494,163.0321195,0.49329,5524.2,50.0,4.113,0.08,0.29,0.042,4.045,0.263,1.0746636847310144E-5,5.633457984391807E-7,0,82.60904157536268,0,0
BD+01316,26.63371,2.69887,6399.4,50.0,4.246,0.059,0.26,0.047,5.479,0.403,6.978878370871229E-6,3.5911877692988077E-7,0,350.8594620801147,0,0
BD+034525,318.47394,4.45293,5753.9,61.286,4.099,0.126,0.05,0.05,3.934,0.27,8.795156023585113E-5,1.6055487392696587E-5,0,22.35,0,0
BD+053805,278.947839,5.33738,5162.9,50.0,3.022,0.073,-0.09,0.043,4.215,0.446,6.493411326606926E-6,6.87109812231484E-7,0,67.46337895480777,0,0
BD+053818,279.139796,5.21051,4697.1,50.0,2.408,0.092,-0.1,0.043,4.245,0.573,4.591888762505244E-6,3.450043066092156E-7,0,108.57499999999999,0,0
BD+053820,279.158917,5.137415,5115.2,50.0,2.944,0.071,-0.09,0.049,4.517,0.469,-5.561104968135087E-4,0.016201877700083377,0,38.60803025278549,0,0
BD+053829,279.26759,5.29036,5222.8,50.0,3.121,0.066,-0.03,0.042,4.258,0.405,1.1444692619180636E-5,4.827834171584546E-7,0,110.61666666666667,0,0
BD+053833,279.3370695,5.894995,5277.4,50.0,3.303,0.09,-0.06,0.044,4.842,0.452,-2.532470465241913E-6,1.9855701781117195E-6,0,47.022600948905406,0,0
BD+053839,279.3932285,5.4747699999999995,5154.2,50.0,2.909,0.084,-0.07,0.042,4.435,0.464,-1.8931692853500806E-9,1.0619514487095688E-6,0,62.8,0,0
BD+053840,279.399515,5.260585000000001,4585.5,50.0,2.168,0.114,-0.04,0.045,4.572,0.453,3.8483923843858665E-6,3.37272558047567E-7,0,157.73195265667923,0,0
BD+053858,279.586779,5.43202,5217.3,50.0,3.136,0.087,-0.15,0.043,4.641,0.491,1.0154416040592413E-6,1.1209652406045758E-6,0,63.219854476264025,0,0
BD+053868,279.683073,5.23816,5203.7,50.0,3.08,0.075,-0.07,0.043,4.626,0.43,4.405886423081697E-6,1.1702470406390205E-6,0,55.31015578836615,0,0
BD+053882,279.824778,5.22989,5232.0,50.0,3.151,0.081,-0.05,0.043,4.218,0.416,6.143478113045821E-6,1.0449552564144967E-6,0,59.29387264577457,0,0
BD+053906,280.07813699999997,5.31292,5111.0,50.0,3.006,0.084,-0.05,0.043,4.028,0.447,7.597951671092156E-6,9.052889341673967E-7,0,61.675,0,0
BD+062168,141.107518,5.76544,6026.9,50.0,4.312,0.059,0.13,0.046,5.613,0.295,7.350769059477453E-6,3.4305780503041037E-7,0,263.78171548825344,0,0
BD+062932A,220.823005,5.82598,5385.3,50.0,4.568,0.083,-0.88,0.057,1.998,0.676,1.054039535017735E-5,5.453211392394636E-7,0,87.57499999999999,0,0
BD+063796,277.073573,6.76625,5311.1,50.0,3.14,0.088,-0.02,0.043,5.853,0.422,1.7255751007966525E-5,6.879489216052472E-7,0,83.05183622292769,0,0
BD+072351,161.15534,6.332655,5239.5,50.0,4.427,0.071,-0.1,0.045,2.756,0.333,2.5170989181867765E-5,9.170180563388423E-7,0,92.27499999999999,0,0
BD+072474,175.909296,6.56475,5634.2,50.0,4.564,0.059,-0.08,0.047,3.805,0.498,2.196436321729797E-5,7.233249364706099E-7,0,87.51898029436074,0,0
BD+10125,16.463419000000002,11.753945,6060.8,50.0,4.495,0.056,-0.26,0.054,3.354,0.437,-3.958788281531545E-6,1.503371167528989E-6,0,72.93806447939238,0,0
BD+101799,126.613981,10.0786,6431.1,50.0,4.468,0.061,-0.02,0.055,6.551,0.335,5.127491525159474E-6,7.948364406852406E-7,0,902.8175580691232,0,0
BD+101802,126.897587,10.50585,4335.6,207.046,2.452,0.466,-0.06,0.046,4.755,1.019,8.362554908369909E-6,2.7055752205665662E-6,0,108.22430795959536,0,0
